Feature_ID,mz,RTmin,RT,RTmax,Height,Area,Estimated noise,S/N,Sharpness,Gaussian similarity,Ideal slope,Symmetry
F1918,1146.29277,0.221,1.738,2.863,10407,258581,1475.769,7.05224,19.606,0.898,0.982,0.608
F1919,1147.29853,0.911,1.738,2.517,4781,136881,1760.979,2.71478,19.15,0.753,1.0,0.4
F1920,1150.98285,1.083,1.738,2.603,3007,79237,1.0,3006.937,12.311,0.819,1.0,1.0
F1921,1154.95892,0.911,1.738,2.777,2786,75107,1.0,2786.13,11.595,0.864,1.0,0.75
F1922,1156.08235,0.911,1.738,2.777,3002,85944,1.0,3002.102,13.34,0.802,0.983,1.0
F1923,1156.9927,0.825,1.738,2.949,2105,49779,1.0,2105.219,17.732,0.954,0.99,0.77
F1924,1156.99896,0.825,1.738,3.036,2105,49779,1.0,2105.219,15.475,0.75,0.989,0.75
F1925,1161.26263,0.048,1.738,3.296,35791,902894,4547.486,7.87056,42.658,0.816,1.0,0.715
F1926,1162.2647,1.273,1.738,2.603,16855,424856,2078.575,8.10912,29.738,0.833,0.991,0.75
F1927,1163.26457,0.566,1.738,2.171,10807,277978,2171.051,4.97779,26.831,0.743,0.985,1.0
F1928,1170.93687,1.17,1.738,2.863,2664,72394,1.0,2663.585,13.26,0.785,1.0,0.75
F1929,1172.97254,0.738,1.738,2.863,4407,113622,1.0,4407.309,17.646,0.825,0.987,0.75
F1930,1202.23615,1.376,1.738,2.863,1924,57552,1291.24,1.49023,11.817,0.864,1.0,0.75
F1931,1225.22214,0.032,1.738,4.105,2934,72035,749.063,3.91626,15.819,0.808,0.985,0.877
F1932,1225.23275,0.48,1.738,3.312,2159,81379,2781.733,0.77597,20.669,0.679,0.991,0.365
F1933,1247.21831,1.376,1.738,3.296,2432,70465,840.783,2.89211,20.594,0.741,1.0,0.429
F1934,1259.23227,0.393,1.738,2.517,6131,151763,636.198,9.63637,16.703,0.875,0.961,0.264
F1935,1264.19858,1.289,1.738,3.312,4535,130638,1199.173,3.78178,17.026,0.862,1.0,0.743
F1936,1265.22088,0.48,1.738,3.312,2354,61437,1015.102,2.31908,21.485,0.719,0.991,1.0
F1937,1281.2033,1.289,1.738,3.812,7440,187801,1712.931,4.3433,18.777,0.62,0.994,0.528
F1938,1282.19472,0.135,1.738,2.949,2836,65022,1.0,2836.379,15.097,0.909,0.976,0.608
F1939,1283.20333,0.221,1.738,2.777,2513,71410,550.225,4.56708,15.068,0.709,0.959,0.35
F1940,1285.14398,1.273,1.738,2.344,2761,68099,598.717,4.61102,16.65,0.935,0.982,0.999
F1941,1297.17845,1.289,1.738,2.863,9728,259406,1395.959,6.96867,24.224,0.88,0.972,0.456
F1942,1298.18034,1.376,1.738,2.603,4989,126318,1.0,4988.816,18.421,0.735,0.983,0.75
F1943,1300.17428,0.997,1.738,2.43,1637,37627,1.0,1636.985,12.236,0.772,1.0,0.75
F1944,1303.17179,0.738,1.738,2.777,1775,41167,1.0,1775.462,10.774,0.665,0.977,0.456
F1945,1333.13084,1.376,1.738,2.69,2252,55577,1.0,2251.886,9.858,0.86,1.0,0.75
F1946,1377.12349,0.221,1.738,2.171,2456,79889,1.0,2456.41,10.113,0.752,1.0,0.47
F1947,1379.14956,0.911,1.738,2.344,3135,103294,1.0,3135.254,12.318,0.562,0.996,0.304
F1948,1380.14125,0.825,1.738,2.777,2585,62827,1.0,2584.613,17.05,0.792,1.0,0.75
F1949,1380.14796,0.825,1.738,2.777,2585,62827,1.0,2584.613,13.07,0.854,0.995,1.0
F1950,1395.12761,0.48,1.738,2.863,4599,109651,1.0,4598.763,18.379,0.873,1.0,0.954
F1951,1395.13578,0.032,1.738,3.296,4599,109651,1.0,4598.763,15.498,0.717,0.999,0.47
F1952,1396.14066,0.48,1.738,2.777,3280,79469,1.0,3279.981,15.122,0.832,0.987,0.557
F1953,1401.14742,0.307,1.738,2.949,1320,27396,1.0,1319.924,9.567,0.701,0.941,0.456
F1954,1417.11383,1.392,1.738,2.603,2019,50707,1.0,2019.394,14.917,0.876,1.0,0.75
F1955,63.96202,0.997,1.825,2.603,38917,2105055,5932.813,6.53786,21.368,0.948,0.995,0.385
F1956,68.99545,1.273,1.825,2.43,307071,7733172,6899.833,43.82305,103.514,0.619,1.0,0.571
F1957,79.95721,0.911,1.825,3.725,3038948,259648004,6313.446,479.8912,207.605,0.601,1.0,0.333
F1958,81.95285,0.048,1.825,2.603,152405,8136129,1.0,152405.0,55.194,0.682,1.0,0.667
F1959,96.9605,0.911,1.825,3.812,18771936,1595004388,18629.29,991.9666,452.461,0.585,1.0,0.333
F1960,97.07826,0.911,1.825,3.399,46703,2703591,3294.617,14.1756,46.586,0.631,1.0,0.357
F1961,97.15436,0.652,1.825,3.502,12553,928444,1.0,12552.66,32.771,0.613,1.0,0.333
F1962,97.25429,0.566,1.825,2.43,5842,256916,1.0,5842.005,23.237,0.907,0.986,0.667
F1963,97.95924,0.738,1.825,3.725,200411,15601037,1.0,199820.1,47.119,0.588,1.0,0.333
F1964,112.93702,0.48,1.825,2.43,7147,294420,1.0,7146.573,12.108,0.732,0.992,0.333
F1965,138.0195,1.083,1.825,2.084,117773,3412947,8639.202,13.63244,52.036,0.756,1.0,0.25
F1966,144.90917,1.17,1.825,2.171,6696,215439,1764.576,3.79449,13.222,0.754,0.976,0.555
F1967,167.90451,1.479,1.825,2.084,3063,82742,1.0,1856.224,12.743,0.863,0.994,0.5
F1968,176.91666,1.273,1.825,2.863,20455,796644,6197.405,3.30058,26.514,0.907,1.0,0.833
F1969,188.05611,1.17,1.825,2.344,121498,4706741,11142.19,10.87923,46.873,0.861,0.997,0.8
F1970,194.92729,1.273,1.825,4.191,210508,12332228,8183.268,25.7047,65.235,0.666,1.0,0.417
F1971,196.9228,1.289,1.825,3.036,25017,1271188,2593.393,9.64649,21.745,0.72,0.994,0.5
F1972,196.97593,1.273,1.825,3.209,67904,3842336,5363.047,12.54887,34.18,0.735,1.0,0.714
F1973,231.03152,1.17,1.825,2.517,86085,3641765,4134.357,20.77967,43.327,0.843,0.999,0.834
F1974,232.88285,1.289,1.825,3.399,140834,6560843,1103.418,120.3334,60.513,0.829,0.987,0.5
F1975,234.87926,1.289,1.825,3.725,19308,745298,1.0,19308.45,19.3,0.745,1.0,0.333
F1976,243.84409,1.273,1.825,2.863,2310,57237,1.0,2310.147,11.24,0.894,1.0,0.75
F1977,307.04702,0.135,1.825,2.43,36412,1480743,34630.32,1.05146,34.489,0.871,0.999,0.808
F1978,314.86342,1.289,1.825,2.949,44157,1465487,10259.26,4.24215,36.239,0.718,0.998,0.865
F1979,316.86002,1.289,1.825,2.69,14200,494728,1455.674,9.33243,19.889,0.759,1.0,0.429
F1980,319.04726,0.911,1.825,2.777,52347,2267157,28165.28,1.85856,27.886,0.629,1.0,0.327
F1981,330.84111,1.289,1.825,2.257,81126,2571369,3357.135,24.16514,52.264,0.798,0.995,0.444
F1982,332.8373,1.17,1.825,2.257,15741,487033,1.0,15741.16,23.551,0.738,1.0,0.5
F1983,336.85695,1.17,1.825,2.257,4437,136471,1.0,4437.444,16.74,0.662,0.974,0.3
F1984,346.81352,1.392,1.825,2.257,5453,141208,1.0,5117.993,17.729,0.803,0.989,0.75
F1985,351.05605,0.032,1.825,2.949,89548,4603359,5877.275,15.23629,51.554,0.936,1.0,0.646
F1986,352.83109,0.652,1.825,3.415,11931,490628,1.0,11931.13,18.922,0.755,1.0,0.333
F1987,354.82786,1.17,1.825,2.603,2123,49769,1.0,2123.237,18.454,0.748,1.0,0.75
F1988,355.04452,0.566,1.825,2.69,16947,977644,6806.711,2.48973,13.268,0.834,0.97,0.834
F1989,368.80504,1.289,1.825,3.122,11669,349630,1.0,11668.56,25.679,0.843,1.0,0.75
F1990,370.80239,1.17,1.825,2.603,3052,83364,1.0,3051.573,11.632,0.895,1.0,1.0
F1991,386.03281,0.825,1.825,2.171,14925,509130,3796.56,3.93109,19.785,0.759,0.995,0.385
F1992,399.03318,0.135,1.825,2.603,10863,560418,4116.517,2.63899,11.328,0.764,0.975,0.533
F1993,429.0336,0.221,1.825,2.084,44974,1376438,1822.807,24.67294,22.587,0.716,0.999,0.313
F1994,434.81356,1.083,1.825,2.344,2918,73374,1.0,2918.252,12.771,0.763,1.0,0.75
F1995,449.02314,0.032,1.825,3.122,124409,4452785,2216.949,56.11738,61.823,0.776,0.999,0.833
F1996,450.78834,1.17,1.825,2.257,8960,244333,1.0,8960.213,20.585,0.891,0.986,0.75
F1997,451.02154,0.032,1.825,2.949,12581,924341,9180.232,1.37041,13.114,0.74,1.0,0.709
F1998,452.78237,1.479,1.825,2.603,5493,145494,1.0,5493.251,16.134,0.892,1.0,0.75
F1999,465.01819,0.738,1.825,2.517,37711,1357409,3563.43,10.58279,46.011,0.945,1.0,0.75
F2000,466.76305,0.911,1.825,2.949,8926,244507,1.0,8925.581,20.687,0.81,0.998,0.75
F2001,469.04947,0.911,1.825,2.171,5622,192938,5578.142,1.00794,15.985,0.841,1.0,0.626
F2002,482.9918,0.032,1.825,2.43,5445,150923,3148.64,1.72947,20.918,0.675,0.999,0.555
F2003,490.75012,1.565,1.825,2.603,2148,49856,1.0,2147.722,12.019,0.726,1.0,0.75
F2004,504.72704,0.911,1.825,2.777,4379,120265,1.0,4378.872,15.595,0.825,0.966,1.0
F2005,527.12373,0.307,1.825,2.517,62657,2202228,12723.72,4.92443,58.762,0.846,0.998,0.8
F2006,561.00034,0.032,1.825,2.517,36948,1092487,2118.267,17.44257,38.067,0.744,0.987,0.577
F2007,562.99665,1.479,1.825,2.603,4098,103753,2123.507,1.92963,17.983,0.875,0.953,0.47
F2008,574.99104,0.032,1.825,2.344,15047,422036,2887.339,5.21155,35.341,0.691,1.0,1.0
F2009,586.93848,1.17,1.825,2.603,2270,57873,1.0,2270.485,11.007,0.919,1.0,0.75
F2010,649.00192,0.997,1.825,2.863,2914,72008,1686.412,1.72773,16.727,0.794,1.0,0.75
F2011,680.9463,0.652,1.825,4.105,3844,93391,3194.725,1.20311,21.079,0.64,0.964,0.444
F2012,694.94567,0.566,1.825,2.777,16712,442964,2993.745,5.5823,24.839,0.8,1.0,0.484
F2013,696.92122,0.911,1.825,2.777,4571,102755,3414.302,1.33864,30.156,0.897,1.0,1.0
F2014,746.96331,1.083,1.825,2.69,2407,59387,1.0,2407.21,16.287,0.858,1.0,0.75
F2015,765.09693,0.032,1.825,4.018,1189,53491,2420.12,0.49147,13.214,0.808,0.989,0.696
F2016,792.90379,0.738,1.825,3.209,6206,147341,1.0,6206.112,20.564,0.871,1.0,0.75
F2017,794.88902,0.911,1.825,2.777,1954,47240,1.0,1954.412,10.446,0.915,1.0,0.75
F2018,801.08583,1.186,1.825,3.725,8650,406446,3192.045,2.70998,14.985,0.761,0.986,0.5
F2019,808.8797,0.911,1.825,2.777,9215,248945,1.0,9215.091,22.038,0.833,1.0,0.75
F2020,809.87658,1.083,1.825,2.69,1926,47546,1.0,1926.483,10.281,0.905,1.0,1.0
F2021,810.87895,0.911,1.825,2.777,2616,62958,1.0,2615.69,16.478,0.945,1.0,1.0
F2022,810.98763,0.738,1.825,2.517,1368,32396,1.0,1368.485,15.109,0.675,1.0,0.385
F2023,814.8868,0.911,1.825,2.777,2917,71612,1.0,2917.156,13.332,0.86,1.0,0.75
F2024,830.86077,1.083,1.825,2.69,4950,124799,1.0,4950.077,16.969,0.877,1.0,0.75
F2025,832.84496,1.392,1.825,2.69,2257,56246,1.0,2256.821,14.384,0.905,1.0,0.75
F2026,846.83452,1.392,1.825,2.69,4232,99668,1.0,4231.64,17.219,0.934,1.0,1.0
F2027,881.11005,0.393,1.825,3.502,1153,23932,1392.528,0.82806,9.53,0.86,0.995,0.619
F2028,887.11162,1.17,1.825,2.517,4042,199135,1330.953,3.03659,7.713,0.756,0.995,0.563
F2029,891.09748,1.083,1.825,2.257,2996,88871,1121.056,2.67214,13.012,0.757,1.0,0.619
F2030,908.95764,0.911,1.825,2.863,3077,84477,1.0,3076.907,14.125,0.784,1.0,0.75
F2031,953.15637,0.307,1.825,3.622,4788,145821,1146.184,4.17704,15.58,0.847,0.959,0.839
F2032,971.02891,0.393,1.825,3.415,2041,47934,1.0,2041.41,12.109,0.851,0.988,0.5
F2033,973.11115,1.376,1.825,2.171,3219,101888,814.494,3.95211,14.105,0.807,0.992,0.75
F2034,977.05309,1.479,1.825,2.603,1057,26589,445.123,2.3743,16.704,0.707,0.976,0.47
F2035,997.06053,0.997,1.825,4.018,14728,560297,1133.384,12.99459,21.393,0.818,0.996,0.599
F2036,1003.05005,1.083,1.825,3.622,1960,53238,1.0,1959.709,18.399,0.895,0.987,0.839
F2037,1005.05092,1.392,1.825,4.018,2437,69242,1.0,2436.93,11.743,0.666,0.981,0.473
F2038,1019.04824,0.032,1.825,4.105,10016,370656,1.0,10015.94,18.668,0.812,0.999,0.699
F2039,1034.18463,0.911,1.825,2.084,4704,171310,3890.8,1.20895,11.775,0.835,0.961,0.528
F2040,1057.01412,1.392,1.825,2.949,2066,55021,1.0,2066.103,13.842,0.761,0.956,0.6
F2041,1076.01605,0.221,1.825,3.519,2814,68082,1.0,2814.219,13.178,0.643,0.92,0.8
F2042,1117.00748,0.738,1.825,3.036,3646,114617,1.0,3646.337,12.876,0.94,0.982,1.0
F2043,1132.98358,0.048,1.825,3.312,3724,128943,1.0,3723.785,13.106,0.683,0.978,0.467
F2044,1135.01109,1.273,1.825,2.863,1901,44503,1.0,1901.456,12.237,0.813,1.0,0.75
F2045,1137.00815,1.289,1.825,2.777,1435,33517,1.0,1434.579,10.351,0.894,1.0,1.0
F2046,1167.15613,0.652,1.825,3.312,3257,149040,1.0,3256.986,12.478,0.803,1.0,0.714
F2047,1284.14508,1.392,1.825,3.296,2253,58600,1.0,2252.593,12.566,0.69,0.978,1.0
F2048,71.01364,1.565,1.911,2.517,1615279,53375736,8751.729,166.26,198.752,0.584,0.96,0.477
F2049,72.99286,0.825,1.911,2.43,1070422,40013707,7161.863,146.2878,148.276,0.542,1.0,0.278
F2050,90.02751,1.17,1.911,2.517,48379,2388903,4337.937,10.98561,28.32,0.697,0.975,0.557
F2051,115.00389,0.566,1.911,2.517,3477890,117468475,7212.957,481.9501,334.88,0.853,0.98,0.467
F2052,116.00689,1.273,1.911,2.517,148621,5148262,37593.07,3.77159,65.624,0.898,1.0,0.999
F2053,133.01481,1.17,1.911,2.863,7868141,262499341,20629.45,381.3208,514.406,0.78,0.998,0.646
F2054,133.05068,1.17,1.911,2.43,362466,14040558,1984.817,182.5489,59.534,0.908,1.0,0.429
F2055,133.15293,1.565,1.911,3.296,11333,275347,1.0,11333.26,55.555,0.83,0.98,0.5
F2056,133.26996,1.565,1.911,3.036,2677,63989,1.0,2676.685,34.647,0.814,0.952,0.485
F2057,134.01751,1.17,1.911,2.863,392772,12715833,43187.13,9.09466,117.952,0.891,0.995,0.667
F2058,136.92249,1.565,1.911,2.43,10580,295274,1365.561,7.06147,27.647,0.806,1.0,0.5
F2059,144.96447,1.083,1.911,2.257,36042,773682,11805.82,3.05293,33.729,0.615,0.972,0.407
F2060,158.01416,0.566,1.911,2.344,48431,1255218,6081.391,7.96376,40.876,0.861,1.0,0.667
F2061,159.01051,1.392,1.911,2.603,185817,4690003,11540.07,15.99679,76.084,0.913,0.998,0.599
F2062,175.93256,0.48,1.911,2.949,7159,519095,1.0,7158.982,7.574,0.671,1.0,0.555
F2063,187.02452,1.083,1.911,2.43,93757,3977542,1888.553,49.64502,39.566,0.952,1.0,0.834
F2064,192.92952,1.289,1.911,3.622,15920,445959,550.357,28.92696,18.877,0.663,0.922,0.577
F2065,205.03506,1.17,1.911,2.43,275666,14878366,28538.54,9.64648,43.737,0.779,0.987,0.557
F2066,208.90719,1.289,1.911,2.517,17192,421982,3113.309,5.52219,27.794,0.75,1.0,0.5
F2067,216.90891,1.289,1.911,2.257,110862,3895384,3687.44,29.85111,54.257,0.582,0.991,0.364
F2068,218.88511,1.479,1.911,2.43,21493,782996,912.317,19.02882,29.683,0.786,1.0,0.999
F2069,246.96735,1.479,1.911,3.036,12271,297433,27878.97,0.44014,16.935,0.666,0.999,0.379
F2070,247.83794,1.289,1.911,2.517,7036,282524,1.0,7036.127,13.4,0.801,0.989,0.799
F2071,248.8466,1.289,1.911,3.622,5600,221532,1.0,5599.713,12.536,0.75,1.0,0.5
F2072,252.96306,1.273,1.911,2.43,76079,1894728,6540.772,11.63144,60.124,0.941,0.986,0.75
F2073,254.93916,1.392,1.911,2.517,30887,774375,955.373,32.11243,40.853,0.88,0.996,0.749
F2074,255.23234,1.376,1.911,2.344,11087,475411,2527.691,4.1286,10.557,0.881,1.0,0.6
F2075,261.04181,0.393,1.911,2.777,52178,2798480,3067.893,17.00767,21.197,0.835,1.0,0.5
F2076,268.93669,1.083,1.911,3.122,82286,2077934,13305.03,6.18455,49.053,0.811,1.0,0.667
F2077,270.93437,1.376,1.911,2.863,9381,235548,1.0,9380.676,23.577,0.772,1.0,0.749
F2078,274.02511,1.273,1.911,2.69,888457,21264324,13846.59,64.16429,217.819,0.948,1.0,0.999
F2079,274.89769,1.273,1.911,2.863,3216,72581,1.0,3215.803,23.573,0.966,1.0,0.999
F2080,275.0223,1.083,1.911,2.863,3670905,87383819,35794.84,102.554,455.109,0.948,1.0,0.999
F2081,276.02483,1.17,1.911,2.43,319894,8032027,6471.526,49.42129,127.379,0.979,0.993,0.999
F2082,277.02583,1.17,1.911,2.69,106732,2928552,20920.08,5.09537,59.098,0.864,1.0,0.557
F2083,278.02936,0.652,1.911,2.43,12902,480202,5569.881,2.31637,14.141,0.901,1.0,0.999
F2084,290.99315,0.825,1.911,3.296,70520,2219140,14894.16,4.73473,42.394,0.85,0.959,0.774
F2085,308.99155,0.997,1.911,2.69,45559,1121464,2857.028,15.94637,45.746,0.943,1.0,0.999
F2086,320.95273,0.911,1.911,3.122,4008,94490,1.0,4007.697,22.247,0.719,1.0,0.5
F2087,350.9176,0.911,1.911,2.603,22498,548867,1.0,22498.1,37.363,0.822,0.976,0.75
F2088,352.90681,1.289,1.911,3.519,20872,462400,1.0,20872.39,41.555,0.767,1.0,0.999
F2089,358.92294,1.565,1.911,2.777,2004,45809,1.0,2003.746,13.887,0.951,1.0,0.999
F2090,366.89537,1.392,1.911,2.43,46265,1120007,3581.827,12.86332,44.568,0.772,0.997,0.969
F2091,372.91139,1.565,1.911,2.777,1132,23492,1.0,1131.836,15.966,0.9,1.0,0.749
F2092,386.9714,1.392,1.911,3.122,21338,468868,2847.012,7.49505,28.802,0.795,1.0,0.799
F2093,388.87606,1.565,1.911,2.777,6127,138193,1.0,6127.431,21.335,0.965,1.0,0.999
F2094,402.94943,1.392,1.911,2.257,49430,1156403,1877.263,25.84444,54.538,0.846,1.0,0.749
F2095,412.04396,0.221,1.911,2.344,43289,1235139,19535.54,2.21593,23.164,0.865,1.0,0.696
F2096,414.81881,1.479,1.911,2.344,3286,80839,1.0,3285.83,15.372,0.964,0.991,0.999
F2097,418.92254,0.825,1.911,2.517,4924,129411,1.0,4923.748,18.651,0.753,0.999,0.428
F2098,419.04923,0.997,1.911,2.43,67021,2116662,3595.044,18.64269,44.393,0.829,1.0,0.999
F2099,426.02046,1.17,1.911,2.171,11598,450297,9574.767,1.21134,15.137,0.827,1.0,0.5
F2100,460.95491,1.376,1.911,3.312,8929,254290,1.0,8929.073,19.979,0.764,1.0,0.75
F2101,732.96365,1.273,1.911,2.171,1637,41475,1.0,1636.852,12.375,0.827,1.0,1.0
F2102,914.05474,0.48,1.911,3.415,4770,169178,1.0,4769.542,12.369,0.954,1.0,0.999
F2103,914.06413,0.393,1.911,3.828,4770,169178,2301.473,2.07239,14.142,0.827,0.997,0.599
F2104,915.05961,0.652,1.911,3.122,4406,145937,1.0,4406.308,11.806,0.902,1.0,0.801
F2105,915.06658,0.738,1.911,3.828,4406,145937,2501.001,1.76182,9.68,0.893,1.0,0.874
F2106,935.04849,1.083,1.911,3.519,4546,185339,1.0,4545.789,9.064,0.882,0.999,0.858
F2107,1013.12253,0.825,1.911,3.122,1730,58144,1.0,1730.322,12.488,0.96,1.0,0.799
F2108,1021.03655,1.186,1.911,3.036,3225,101161,1.0,3224.776,11.021,0.888,1.0,0.801
F2109,1168.16667,0.566,1.911,3.415,2218,87574,1057.787,2.09685,10.548,0.939,1.0,0.833
F2110,1223.19384,0.032,1.911,3.828,3017,123608,1.0,3017.094,7.947,0.854,0.966,0.817
F2111,97.37862,0.911,1.998,2.43,2378,88414,1.0,2378.051,17.791,0.912,1.0,0.801
F2112,103.0034,1.17,1.998,2.517,145193,5046583,3116.261,46.44437,53.706,0.801,0.983,0.696
F2113,206.03834,1.17,1.998,2.43,25460,1417650,5697.462,4.46869,13.399,0.585,1.0,0.327
F2114,303.05201,1.565,1.998,2.517,30679,1130522,18188.04,1.27835,22.602,0.7,0.999,0.327
F2115,304.03378,0.566,1.998,2.344,23534,752637,14247.54,1.65178,26.957,0.746,1.0,0.489
F2116,305.0676,1.652,1.998,2.43,21034,727009,34916.19,0.38531,41.929,0.899,0.995,0.556
F2117,326.01934,0.652,1.998,2.777,25212,850240,4977.874,5.06476,36.856,0.921,1.0,0.801
F2118,327.01605,0.911,1.998,2.777,88898,2661846,6463.371,13.75407,57.797,0.765,0.999,0.749
F2119,328.01924,0.997,1.998,2.69,12565,345645,6659.681,1.88666,22.305,0.935,0.999,0.6
F2120,337.05761,0.48,1.998,2.603,47451,2287890,5417.951,8.75812,30.981,0.866,0.992,0.808
F2121,345.02467,1.273,1.998,2.517,14359,734772,4005.919,3.58449,12.978,0.793,1.0,0.367
F2122,420.01062,1.289,1.998,2.863,20129,790391,7687.749,2.55646,19.341,0.877,0.999,0.624
F2123,602.13133,1.738,1.998,3.122,133159,4480298,24009.52,5.18516,48.257,0.818,0.958,0.556
F2124,603.12996,1.738,1.998,2.863,54018,2291119,23393.14,1.72056,24.489,0.64,0.913,0.218
F2125,665.21359,1.652,1.998,2.517,654699,16496912,43801.32,14.19207,183.081,0.693,0.955,0.999
F2126,666.21653,1.652,1.998,2.517,170170,4404465,15357.98,10.41692,90.421,0.651,0.95,0.489
F2127,667.21849,1.652,1.998,2.43,52935,1376192,21239.13,2.25611,46.629,0.868,0.988,0.367
F2128,701.18978,1.738,1.998,2.517,123694,3179709,28940.12,3.88107,70.696,0.89,0.98,0.666
F2129,703.18771,1.738,1.998,2.43,48592,1269948,15370.67,2.52818,46.127,0.691,1.0,0.499
F2130,711.21851,1.652,1.998,2.517,106184,2723897,22234.5,4.47853,73.667,0.62,0.917,0.367
F2131,721.0766,0.135,1.998,2.69,13337,633187,4759.703,2.80209,17.04,0.725,0.995,0.5
F2132,728.20886,1.738,1.998,2.517,164886,4067879,16433.33,9.39603,90.219,0.67,0.99,0.499
F2133,729.21192,1.738,1.998,2.43,48842,1202952,9459.756,4.70246,44.943,0.665,0.978,0.499
F2134,755.2077,1.186,1.998,2.43,33198,978422,6368.37,5.20279,22.801,0.721,0.985,0.999
F2135,763.18206,1.17,1.998,4.105,2247134,94724697,11589.01,193.9021,261.201,0.637,1.0,0.556
F2136,763.97037,1.652,1.998,3.312,2054,48809,1.0,2054.077,24.546,0.857,1.0,0.749
F2137,764.10186,1.652,1.998,3.828,2884,112551,4000.0,0.72096,25.216,0.972,1.0,0.999
F2138,764.18448,0.032,1.998,3.415,647407,27396046,16871.17,38.37359,140.306,0.65,1.0,0.556
F2139,764.24383,0.032,1.998,2.69,38622,1581493,11716.04,3.29653,42.782,0.757,0.976,0.572
F2140,765.18394,0.48,1.998,2.603,250519,10536045,15421.4,16.24489,86.65,0.647,0.997,0.556
F2141,766.18551,0.032,1.998,2.603,61823,2580583,9781.771,6.32023,43.725,0.613,0.986,0.556
F2142,767.18556,0.307,1.998,2.43,16526,774147,10029.2,1.64783,20.868,0.77,0.996,0.839
F2143,785.16122,1.738,1.998,2.43,13245,392477,5100.114,1.76303,13.112,0.644,0.981,0.358
F2144,787.13922,0.566,1.998,2.517,16021,567490,7442.399,2.15273,15.006,0.651,0.977,0.367
F2145,799.2347,1.652,1.998,2.777,337913,8128135,13430.91,25.12873,130.933,0.786,0.98,0.429
F2146,800.23802,1.652,1.998,3.122,107407,2599678,8628.661,12.44769,71.798,0.744,0.993,0.417
F2147,801.24039,1.738,1.998,2.777,38280,864371,14173.31,2.70087,46.421,0.869,0.964,0.666
F2148,827.26518,1.652,1.998,2.517,41726,1209021,9859.637,3.58918,46.057,0.7,0.994,0.499
F2149,851.22899,0.393,1.998,2.603,49135,1330475,11024.62,4.45684,53.447,0.653,0.982,0.667
F2150,852.23296,1.652,1.998,2.69,17576,431896,11154.77,1.57567,43.431,0.86,0.999,0.75
F2151,883.1294,0.032,1.998,2.603,51523,2119346,6264.14,8.22504,35.308,0.707,0.994,0.556
F2152,884.13264,0.825,1.998,4.451,16545,677333,5539.018,2.98696,22.283,0.765,0.995,0.556
F2153,885.11599,0.393,1.998,4.278,14736,600573,8470.466,1.73974,27.767,0.666,0.981,0.489
F2154,886.10836,1.565,1.998,4.191,6326,180129,1258.931,5.02497,17.175,0.691,0.97,0.733
F2155,905.14426,1.289,1.998,4.018,2517,85157,700.282,3.59392,8.832,0.807,0.989,0.553
F2156,920.17365,1.652,1.998,2.344,3105,76782,2784.473,0.98462,12.415,0.721,0.975,0.489
F2157,925.23301,1.738,1.998,3.036,91627,3011801,7465.402,11.64095,44.133,0.683,0.981,0.696
F2158,926.23677,1.738,1.998,3.209,33591,1167714,8204.398,3.961,30.811,0.71,0.928,0.597
F2159,935.15418,0.997,1.998,3.036,11180,283864,1478.146,7.56333,19.777,0.859,1.0,0.834
F2160,937.05771,1.652,1.998,3.622,3379,110052,943.901,3.58027,9.392,0.939,1.0,0.884
F2161,971.2505,1.652,1.998,3.209,3798,95975,2291.371,1.65763,17.275,0.763,0.964,0.167
F2162,987.30323,1.652,1.998,2.517,8047,188695,3750.868,2.14532,24.011,0.781,1.0,0.4
F2163,991.13263,0.652,1.998,3.209,26254,1222768,1.0,26254.25,20.505,0.921,0.999,0.999
F2164,991.24161,1.652,1.998,3.828,12381,302431,1596.36,7.75592,29.364,0.746,0.999,0.835
F2165,992.23849,1.652,1.998,4.278,5189,126888,1505.633,3.44615,18.792,0.717,0.994,0.696
F2166,1006.23272,1.652,1.998,2.69,15387,426566,3834.425,4.0129,18.538,0.697,0.978,0.599
F2167,1013.27836,1.652,1.998,2.777,13708,361740,3883.623,3.5298,34.927,0.82,0.999,0.999
F2168,1047.30555,1.652,1.998,3.036,7997,189674,4464.021,1.79141,22.487,0.728,1.0,0.333
F2169,1062.17629,0.032,1.998,2.777,1340,67377,528.336,2.53664,11.136,0.859,0.997,0.841
F2170,1078.26525,1.17,1.998,3.122,4146,140454,1811.44,2.28867,16.676,0.747,0.958,0.25
F2171,1110.18237,1.376,1.998,3.725,3859,148844,2138.17,1.80466,15.332,0.915,0.973,0.999
F2172,1126.15826,1.738,1.998,3.812,4395,114940,1624.357,2.70562,19.472,0.922,0.975,0.488
F2173,1250.33943,1.273,1.998,3.209,8854,371154,1636.536,5.41043,18.08,0.704,1.0,0.75
F2174,1290.32173,1.376,1.998,2.777,2669,63008,2357.501,1.13221,21.669,0.792,1.0,0.499
F2175,1314.42498,1.17,1.998,3.036,2722,64453,1446.9,1.88107,16.486,0.867,1.0,0.999
F2176,1429.40157,1.652,1.998,3.502,59270,1491068,1246.65,47.5434,57.339,0.734,0.969,0.417
F2177,1451.38294,1.652,1.998,3.312,8915,218998,2266.644,3.93309,17.977,0.946,1.0,0.4
F2178,70.03766,1.565,2.084,2.603,12650,435788,1.0,10209.25,17.8,0.765,0.998,0.435
F2179,75.00845,1.738,2.084,2.517,269614,7611250,6100.602,35.58966,95.134,0.972,0.991,0.667
